29,841,7,16,256,0,0,0,0.0012196,1,1,0,6.3063
27,729,12,9,81,0,0,0,-0.0024963,0,1,0,6.1759
34,1156,12,16,256,0,0,0,-0.00091713,0,1,0,6.5806
27,729,11,10,100,1,1,1,-0.0014832,0,1,0,5.5215
34,1156,12,16,256,1,1,1,0.00093901,0,1,0,6.5917
26,676,12,8,64,1,1,1,0.0017648,0,1,0,6.2146
33,1089,18,9,81,1,1,1,-0.0010197,0,1,0,6.3368
29,841,14,9,81,1,1,1,0.0033614,0,1,0,6.4102
28,784,12,10,100,1,1,1,-5.9368e-05,0,1,0,6.0521
29,841,12,11,121,1,1,1,0.0028463,0,1,0,6.2442
28,784,9,13,169,1,1,0,0.99719,0,1,0,5.4161
26,676,12,8,64,1,1,0,1.0012,0,1,0,5.9915
24,576,11,7,49,1,1,0,0.99666,0,1,0,6.0331
30,900,11,13,169,1,1,0,0.99946,0,1,0,5.3799
31,961,16,9,81,1,1,0,0.99852,1,1,0,6.7957
24,576,14,4,16,1,1,0,1.0016,0,1,0,5.7038
34,1156,12,16,256,1,1,0,0.99857,0,1,0,5.8464
29,841,14,9,81,1,1,0,1.0036,0,1,0,6.4892
26,676,10,10,100,1,1,0,1.0008,0,1,0,6.3544
32,1024,12,14,196,1,1,0,0.99939,0,1,0,6.4754
32,1024,18,8,64,1,1,1,0.0047208,0,1,1,6.8501
34,1156,18,10,100,1,1,1,0.0030551,0,1,0,6.42
32,1024,15,11,121,1,1,1,0.0034481,0,0,0,6.5876
28,784,12,10,100,0,1,1,-0.0033366,0,1,0,6.4036
32,1024,12,14,196,0,1,1,-4.5011e-05,0,1,0,6.541
34,1156,18,10,100,0,1,1,0.00010006,0,0,0,7.2442
26,676,12,8,64,0,1,1,0.00044985,0,1,0,5.7038
32,1024,18,8,64,0,1,1,0.0032568,0,1,0,7.4955
25,625,12,7,49,0,1,1,-0.0080194,0,1,0,6.0234
29,841,14,9,81,0,1,1,0.0018772,0,0,0,6.4489
25,625,12,7,49,1,1,1,0.0022567,0,1,0,5.3375
25,625,12,7,49,1,1,1,0.0019896,1,1,0,6.1247
24,576,16,2,4,1,1,1,-0.0037819,0,1,0,6.7142
34,1156,18,10,100,1,1,1,0.0016386,0,1,0,6.3578
